feature,hr,ci_lower,ci_upper,z,p,n,events,q
inter_H03_H01,0.9569238740969495,0.7901085056006304,1.1589589206113005,-0.450526903484817,0.652330559805528,200,112,0.9973126457678482
inter_H01_H03,0.9569238740969495,0.7901085056006304,1.1589589206113005,-0.450526903484817,0.652330559805528,200,112,0.9973126457678482
dist_H03_H08,0.9549680891228948,0.7793571068581746,1.1701491437210825,-0.444420009613535,0.6567389493200163,200,112,0.9973126457678482
inter_H06_H01,1.0446715577395336,0.8607755792062731,1.2678550482998998,0.44238007812808233,0.6582141926273799,200,112,0.9973126457678482
inter_H01_H06,1.0446715577395336,0.8607755792062731,1.2678550482998998,0.44238007812808233,0.6582141926273799,200,112,0.9973126457678482
disp_H03_clark_evans,1.0397476704702888,0.8741232991142215,1.2367536929216763,0.4402902225217525,0.6597269213470016,200,112,0.9973126457678482
inter_H09_H02,1.0396748745501248,0.8738339164425086,1.2369900325812473,0.4388389898469239,0.6607782064999213,200,112,0.9973126457678482
inter_H02_H09,1.0396748745501248,0.8738339164425086,1.2369900325812473,0.4388389898469239,0.6607782064999213,200,112,0.9973126457678482
dist_H05_H07,1.0408896002820363,0.8694576234830856,1.2461230205043738,0.4364657389623718,0.6624988517366102,200,112,0.9973126457678482
dist_H04_H10,1.0478829953806512,0.8447514939378304,1.2998601125749978,0.4254190582751489,0.6705312152827938,200,112,0.9973126457678482
inter_H04_H04,1.0415472128464114,0.8632155805499782,1.2567203616702087,0.4248437774032687,0.670950562253328,200,112,0.9973126457678482
disp_H08_ripley_l,0.957444162396293,0.7797803699040625,1.1755865619180976,-0.4152621295441774,0.6779500211294678,200,112,0.9973126457678482
dist_H06_H09,1.042725211653487,0.8546626606487279,1.272169613906518,0.4122980023036866,0.6801210126988999,200,112,0.9973126457678482
disp_H08_j_function,1.0333421123006095,0.8812573391679052,1.211673223694355,0.40378104398927567,0.6863737371045034,200,112,0.9973126457678482
dist_H02_H10,1.0388731458381897,0.8606066497085756,1.2540658540219298,0.39704999462571877,0.6913305938686698,200,112,0.9973126457678482
disp_H01_ripley_l,0.9626194163311577,0.7961560775010117,1.1638875427620674,-0.3932787898097552,0.6941135820313756,200,112,0.9973126457678482
inter_H05_H04,0.9625450183668566,0.7951217360723372,1.1652214627654998,-0.39155502960826616,0.6953870210066759,200,112,0.9973126457678482
inter_H04_H05,0.9625450183668566,0.7951217360723372,1.1652214627654998,-0.39155502960826616,0.6953870210066759,200,112,0.9973126457678482
disp_H02_pair_correlation,1.0357435444149643,0.8685313355933736,1.2351479397854643,0.3909389917827793,0.6958423316365037,200,112,0.9973126457678482
disp_H03_quadrat_dispersion,0.9632032868669951,0.7950424066386476,1.1669321838489761,-0.38297270410620293,0.7017400029600918,200,112,0.9973126457678482
inter_H07_H05,0.9657296119349169,0.8005431952238593,1.1650010754349973,-0.3643340676880249,0.7156085631310503,200,112,0.9973126457678482
inter_H05_H07,0.9657296119349169,0.8005431952238593,1.1650010754349973,-0.3643340676880249,0.7156085631310503,200,112,0.9973126457678482
disp_H01_kde_summary,1.037134341901317,0.8514609969599393,1.2632964363506676,0.36227344826906666,0.7171476977302812,200,112,0.9973126457678482
disp_H09_quadrat_dispersion,0.9671085348029388,0.7991648497656653,1.1703454154207853,-0.34365585976849305,0.7311051102859498,200,112,0.9973126457678482
disp_H03_j_function,0.9671414453939168,0.793098502113177,1.1793775589115363,-0.33006200207569997,0.7413531137457079,200,112,0.9973126457678482
disp_H09_pair_correlation,0.9694884103222972,0.8043728616194115,1.1684976241701843,-0.3252871409524078,0.7449637621744231,200,112,0.9973126457678482
disp_H05_ripley_k,1.0290096672953815,0.8653639844400081,1.2236017611393417,0.32360379724907357,0.7462380127545432,200,112,0.9973126457678482
inter_H06_H10,0.9682638123717832,0.7956125726346207,1.1783810897358655,-0.3218569296424083,0.7475610834702602,200,112,0.9973126457678482
inter_H10_H06,0.9682638123717832,0.7956125726346207,1.1783810897358655,-0.3218569296424083,0.7475610834702602,200,112,0.9973126457678482
dist_H05_H10,0.9691579717893067,0.8002659051862292,1.1736938537500066,-0.3206597570581114,0.748468247251119,200,112,0.9973126457678482
disp_H01_ripley_k,0.9686248269857332,0.7970642687728811,1.1771121755308367,-0.3205033034909945,0.7485868265182496,200,112,0.9973126457678482
